Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
0.000851101,0.00249383,-0.00100714,0.000822037,0.00253597,-0.000979972,0.0712035,0.0459459,0
0.000852316,0.00249671,-0.00100714,0.000844434,0.00259534,-0.00101215,0.0712035,0.0459459,0
0.000853132,0.00249863,-0.00100714,0.00086082,0.00238125,-0.00103614,0.0712035,0.0459459,0
0.000853949,0.00250055,-0.00100714,0.000887386,0.00245868,-0.00097848,0.0712035,0.0459459,0
0.000855981,0.00250532,-0.00100714,0.00082613,0.00246576,-0.00105132,0.0712035,0.0459459,0
0.000856804,0.00250725,-0.00100714,0.000841556,0.00258038,-0.000975638,0.0712035,0.0459459,0
0.000858441,0.00251107,-0.00100714,0.000838508,0.00248308,-0.00101926,0.0712035,0.0459459,0
0.000859677,0.00251394,-0.00100714,0.000883724,0.00241955,-0.000985019,0.0712035,0.0459459,0
0.000860915,0.00251682,-0.00100714,0.000846304,0.00263225,-0.00105433,0.0712035,0.0459459,0
0.000832743,0.0025189,-0.00100715,0.000872599,0.00251596,-0.00105391,0.0712035,0.0459459,0
0.000765602,0.00251806,-0.00100716,0.000775602,0.0024593,-0.00101707,0.0712035,0.0459459,0
0.000525803,0.00250721,-0.00100729,0.000520868,0.00240104,-0.00105718,0.0712035,0.0459459,0
0.000365938,0.00249524,-0.00100743,0.000367178,0.00249277,-0.000978863,0.0712035,0.0459459,0
-2.68647e-05,0.00245112,-0.00100798,-2.68256e-05,0.0023591,-0.00103155,0.0712035,0.0459459,0
-0.000415145,0.00238739,-0.00100887,-0.000415766,0.00230697,-0.000979641,0.0712035,0.0459459,0
-0.000704226,0.00232706,-0.00100978,-0.000691007,0.00221599,-0.00099669,0.0712035,0.0459459,0
-0.00118162,0.00220432,-0.00101153,-0.00117272,0.00217129,-0.00105315,0.0712035,0.0459459,0
-0.00171413,0.00202784,-0.00100781,-0.00175133,0.00202235,-0.00104921,0.119163,0.0767039,0
-0.00248223,0.0017417,-0.00101033,-0.00237781,0.00170792,-0.00098238,0.119163,0.0767039,0
-0.00285954,0.00155085,-0.00101121,-0.0031908,0.00144876,-0.0010204,0.119163,0.0767039,0
-0.00363947,0.00108278,-0.00100824,-0.00353149,0.0010535,-0.00102056,0.135624,0.0761307,0
-0.00419121,0.000680213,-0.00100734,-0.00406366,0.00067737,-0.00101477,0.135624,0.0761307,0
-0.0047112,0.000233664,-0.00100715,-0.00474792,0.000225206,-0.00102749,0.135624,0.0761307,0
-0.00519736,-0.000256973,-0.00100766,-0.00509541,-0.000261347,-0.000975237,0.135624,0.0761307,0
-0.00564719,-0.00079213,-0.00100913,-0.0055176,-0.000802979,-0.000993125,0.145833,0.0868536,0
-0.00605831,-0.00137326,-0.00101138,-0.00605726,-0.00135269,-0.00105719,0.145833,0.0868536,0
-0.00630702,-0.00178663,-0.00101222,-0.00658819,-0.00176493,-0.00105169,0.145833,0.0868536,0
-0.00681243,-0.00235579,-0.00100761,-0.00696367,-0.00238085,-0.00099307,0.145833,0.0868536,0
-0.00694625,-0.00242241,-0.00100694,-0.0071279,-0.00251859,-0.000957804,0.14035,0.0984472,0
-0.00708489,-0.00262003,-0.00100773,-0.00678986,-0.00273994,-0.00103044,0.14035,0.0984472,0
-0.00719126,-0.00284453,-0.00100708,-0.00693764,-0.0029536,-0.00102414,0.14035,0.0984472,0
-0.00726087,-0.00302482,-0.00100922,-0.00710622,-0.00292515,-0.000979216,0.14035,0.0984472,0
-0.00736592,-0.00334806,-0.00101116,-0.0072816,-0.00330796,-0.00103507,0.14035,0.0984472,0
-0.00747696,-0.0036606,-0.00101458,-0.00712629,-0.00356018,-0.00104526,0.14035,0.0984472,0
-0.00747657,-0.00366255,-0.00101128,-0.0072593,-0.00373096,-0.00102457,0.14035,0.0984472,0
