Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
0.000848682,0.00248809,-0.00100714,0.000866081,0.00256429,-0.000973705,1.7962e-10,1.88053e-11,-1.92048e-13
0.00084989,0.00249096,-0.00100714,0.000847162,0.0024439,-0.000994258,1.80367e-09,1.88756e-10,-1.93072e-12
0.000851101,0.00249383,-0.00100714,0.000822037,0.00253597,-0.000979972,6.15147e-09,6.43437e-10,-6.58907e-12
0.000852316,0.00249671,-0.00100714,0.00084924,0.00258625,-0.000957435,1.27554e-08,1.33354e-09,-1.36708e-11
0.000853132,0.00249863,-0.00100714,0.00086082,0.00238125,-0.00103614,2.31625e-08,2.42023e-09,-2.48354e-11
0.000853949,0.00250055,-0.00100714,0.000887386,0.00245868,-0.00097848,3.74587e-08,3.91173e-09,-4.01849e-11
0.000855172,0.00250343,-0.00100714,0.000838776,0.00250949,-0.000967261,5.22455e-08,5.45346e-09,-5.60997e-11
0.000857209,0.0025082,-0.00100714,0.000841556,0.00258038,-0.000975638,6.75327e-08,7.04788e-09,-7.26146e-11
0.000858034,0.00251012,-0.00100714,0.000826315,0.0026266,-0.00100886,8.52908e-08,8.90146e-09,-9.23472e-11
0.000859677,0.00251394,-0.00100714,0.000883724,0.00241955,-0.000985019,1.06784e-07,1.11461e-08,-1.16968e-10
0.000860506,0.00251587,-0.00100714,0.000818288,0.00261213,-0.00101459,1.30405e-07,1.36136e-08,-1.44704e-10
0.000832743,0.0025189,-0.00100715,0.000872599,0.00251596,-0.00105391,1.57744e-07,1.64699e-08,-1.77473e-10
0.000765602,0.00251806,-0.00100716,0.000775602,0.0024593,-0.00101707,-1.6612e-08,3.2772e-07,-6.87593e-08
0.000590911,0.00251099,-0.00100724,0.000686401,0.0024705,-0.00103163,-2.14467e-05,4.1632e-06,-2.95937e-06
0.000365938,0.00249524,-0.00100743,0.000367178,0.00249277,-0.000978863,-9.67396e-05,1.11464e-05,5.83654e-07
-2.68647e-05,0.00245112,-0.00100798,-2.68256e-05,0.0023591,-0.00103155,-0.000218051,1.08509e-05,4.22161e-06
-0.000278893,0.00241199,-0.00100851,-0.000280231,0.00249374,-0.000974159,-0.000412112,5.87885e-06,1.39697e-05
-0.00056165,0.00235819,-0.0010093,-0.000570209,0.00240456,-0.000969188,-0.000620584,-7.63251e-06,4.30912e-05
-0.00118162,0.00220432,-0.00101153,-0.00106121,0.00217121,-0.000972424,-0.000854613,-3.99951e-05,7.01195e-05
-0.00171413,0.00202784,-0.00100781,-0.00198224,0.00204203,-0.000974362,-0.00129279,-0.000140491,5.21022e-05
-0.00231339,0.00181624,-0.00100832,-0.00237781,0.00170792,-0.00098238,-0.00171447,-0.000257902,-7.97286e-05
-0.00285954,0.00155085,-0.00101121,-0.00286018,0.00161261,-0.00102554,-0.0021792,-0.000436264,-0.00019869
-0.00345096,0.00120591,-0.00100877,-0.00353149,0.0010535,-0.00102056,-0.0026715,-0.000668442,-0.000261337
-0.00419121,0.000680213,-0.00100734,-0.00400335,0.00084419,-0.000965162,-0.00319405,-0.000849739,-0.000401683
-0.0047112,0.000233664,-0.00100715,-0.00474792,0.000225206,-0.00102749,-0.00357574,-0.000982004,-0.000570061
-0.00504081,-9.0171e-05,-0.0010074,-0.00483155,-8.91398e-05,-0.000978504,-0.00396689,-0.0011469,-0.000746237
-0.00564719,-0.00079213,-0.00100913,-0.0055176,-0.000802979,-0.000993125,-0.00428412,-0.00129805,-0.00089874
-0.00592702,-0.00117635,-0.00101072,-0.00617062,-0.00112085,-0.000970587,-0.00469436,-0.00152232,-0.00111247
-0.00618761,-0.00158083,-0.00101194,-0.00631435,-0.00161442,-0.00104271,-0.00496358,-0.00168999,-0.00126583
-0.00681243,-0.00235579,-0.00100761,-0.00696367,-0.00238085,-0.00099307,-0.00537343,-0.00198726,-0.00152951
-0.00694625,-0.00242241,-0.00100694,-0.0071279,-0.00251859,-0.000957804,-0.00565674,-0.00223113,-0.00174282
-0.00704988,-0.00256015,-0.00100754,-0.00674879,-0.00260508,-0.00101846,-0.00588528,-0.00246357,-0.00194741
-0.0071562,-0.00276405,-0.00100737,-0.00699762,-0.00282466,-0.000972309,-0.00616042,-0.00281914,-0.00227232
-0.00726087,-0.00302482,-0.00100922,-0.00729802,-0.0028647,-0.000965017,-0.00649366,-0.00302327,-0.00247008
-0.00732857,-0.00323252,-0.00101023,-0.0072816,-0.00330796,-0.00103507,-0.00708981,-0.00287075,-0.00252206
-0.00744412,-0.00357217,-0.00101269,-0.00757951,-0.003473,-0.00101869,-0.00772215,-0.00249723,-0.00240582
-0.00747477,-0.00366193,-0.00101179,-0.00746543,-0.00368909,-0.000985352,-0.00813413,-0.00214082,-0.00208929
-0.00747037,-0.00366116,-0.00101099,-0.00719489,-0.00355655,-0.00102759,-0.00846563,-0.00178648,-0.00197812
-0.0074125,-0.00340769,-0.00101169,-0.00717587,-0.00341777,-0.00101103,-0.00879527,-0.00110473,-0.00316371
-0.00726798,-0.00276943,-0.00100759,-0.00747794,-0.00319108,-0.00100107,-0.00920577,-0.000501039,-0.00407529
-0.00704014,-0.00178964,-0.00100766,-0.00695577,-0.00103157,-0.00103913,-0.00961405,6.76152e-05,-0.0049181
-0.00603856,0.00231614,-0.00100983,-0.00637832,0.00107507,-0.000975083,-0.0102119,0.000830947,-0.00599132
-0.00541426,0.0048552,-0.00100645,-0.00559487,0.00470431,-0.00104184,-0.0108924,0.00157593,-0.00694829
