Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
0.000853534,0.00249958,-0.00100714,0.000821941,0.00260459,-0.00100879,0.000880555,0.00255537,0
0.000855172,0.00250343,-0.00100714,0.000885559,0.00259872,-0.000985303,0.000944172,0.00254949,0
0.000856398,0.0025063,-0.00100714,0.000863427,0.00249266,-0.00101641,0.000921019,0.00247479,0
0.000857209,0.0025082,-0.00100714,0.000880476,0.00252753,-0.00101458,0.000900167,0.00253116,0
0.000858861,0.00251205,-0.00100714,0.000893373,0.00242659,-0.00101941,0.000951966,0.00237737,0
0.000859677,0.00251394,-0.00100714,0.000883724,0.00241955,-0.000985019,0.000942316,0.00237032,0
0.000855779,0.00251785,-0.00100715,0.000813292,0.00243819,-0.00101078,0.000871887,0.00238898,0
0.000832743,0.0025189,-0.00100715,0.000872599,0.00251596,-0.00105391,0.000931202,0.00246674,0
0.000655723,0.00251422,-0.00100721,0.000686401,0.0024705,-0.00103163,0.000745,0.0024213,0
0.000525803,0.00250721,-0.00100729,0.000520868,0.00240104,-0.00105718,0.00057946,0.00235186,0
0.000175773,0.00247641,-0.00100765,0.000181572,0.00236256,-0.00104641,0.000323072,0.00236315,0
-0.000152031,0.00243274,-0.00100823,-0.000156543,0.00246302,-0.00100972,3.17643e-05,0.00230998,0
-0.00056165,0.00235819,-0.0010093,-0.000570209,0.00240456,-0.000969188,-0.000511611,0.0023555,0
-0.00085511,0.00229141,-0.00101033,-0.000833998,0.00228268,-0.0010037,-0.000775413,0.00223365,0
-0.00152759,0.00209511,-0.00101026,-0.00159226,0.0021944,-0.00105387,-0.00111415,0.0021223,0
-0.00231339,0.00181624,-0.00100832,-0.0023309,0.00189941,-0.00103885,-0.00203537,0.00174496,0
-0.00265499,0.00165678,-0.00101272,-0.00278714,0.00166753,-0.000962922,-0.00272862,0.00161874,0
-0.00325921,0.00132435,-0.00100943,-0.00315101,0.00132594,-0.000973895,-0.00309253,0.00127719,0
-0.00383035,0.000950913,-0.00100782,-0.00397147,0.000955785,-0.00105483,-0.00391302,0.000907137,0
-0.00419121,0.000680213,-0.00100734,-0.00406366,0.00067737,-0.00101477,-0.00400525,0.000628733,0
-0.0048804,7.18073e-05,-0.00100723,-0.00473922,7.22826e-05,-0.000958115,-0.00468088,2.37289e-05,0
-0.00519736,-0.000256973,-0.00100766,-0.00509541,-0.000261347,-0.000975237,-0.0050371,-0.000309856,0
-0.00579132,-0.000984371,-0.00100991,-0.00551393,-0.000970349,-0.00104797,-0.00545571,-0.00101881,0
-0.00605831,-0.00137326,-0.00101138,-0.00605726,-0.00135269,-0.00105719,-0.00599908,-0.00140108,0
-0.00642568,-0.00199677,-0.00101056,-0.00641723,-0.00196073,-0.00097436,-0.00635912,-0.00200907,0
-0.0068924,-0.00238356,-0.00100767,-0.00682152,-0.00240126,-0.000977929,-0.00690561,-0.00242913,0
-0.00701643,-0.00250846,-0.00100758,-0.00682041,-0.00258271,-0.00100498,-0.0067622,-0.00256493,0
-0.00712119,-0.00268967,-0.00100745,-0.00711669,-0.00278586,-0.00101629,-0.00673184,-0.00278823,0
-0.0072275,-0.00293295,-0.00100803,-0.00729802,-0.0028647,-0.000965017,-0.00693961,-0.00287293,0
-0.00732857,-0.00323252,-0.00101023,-0.00768848,-0.00333996,-0.000967808,-0.00730255,-0.00314716,0
-0.00740456,-0.00347113,-0.00101171,-0.00734664,-0.00342335,-0.0010408,-0.00722365,-0.00335619,0
-0.00747205,-0.0036616,-0.00101282,-0.00769543,-0.00373319,-0.00104021,-0.00752158,-0.00352119,0
-0.00747037,-0.00366116,-0.00101099,-0.00710323,-0.00372831,-0.000972253,-0.00704533,-0.00377656,0
