Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
0.000849491,0.00249002,-0.00100714,0.000835742,0.00252862,-0.000989434,0,0,0
0.000850701,0.00249289,-0.00100714,0.000849312,0.00253403,-0.00100129,0,0,0
0.000851915,0.00249576,-0.00100714,0.00084924,0.00258625,-0.000957435,0,0,0
0.00085273,0.00249768,-0.00100714,0.000890253,0.00241569,-0.000994539,0,0,0
0.000853534,0.00249958,-0.00100714,0.000821941,0.00260459,-0.00100879,0,0,0
0.000855172,0.00250343,-0.00100714,0.000885559,0.00259872,-0.000985303,0,0,0
0.000856398,0.0025063,-0.00100714,0.000846555,0.00260064,-0.00105355,0,0,0
0.000858034,0.00251012,-0.00100714,0.000880476,0.00252753,-0.00101458,0,0,0
0.000858861,0.00251205,-0.00100714,0.000893373,0.00242659,-0.00101941,0,0,0
0.000859677,0.00251394,-0.00100714,0.000893068,0.00256908,-0.00103989,0,0,0
0.000855779,0.00251785,-0.00100715,0.000813292,0.00243819,-0.00101078,0,0,0
0.00080017,0.00251864,-0.00100716,0.000817519,0.0025908,-0.00101177,0,0,0
0.000655723,0.00251422,-0.00100721,0.000713872,0.00255045,-0.001048,0,0,0
0.000446426,0.00250171,-0.00100735,0.00046387,0.00252311,-0.00101209,0,0,0
0.000175773,0.00247641,-0.00100765,0.000264477,0.00241231,-0.000991712,0,0,0
-0.000152031,0.00243274,-0.00100823,-0.000156543,0.00246302,-0.00100972,0,0,0
-0.000415145,0.00238739,-0.00100887,-0.000415766,0.00230697,-0.000979641,0,0,0
-0.00101775,0.0022494,-0.00101088,-0.00106121,0.00217121,-0.000972424,0,0,0
-0.00135278,0.00215198,-0.00101179,-0.00159226,0.0021944,-0.00105387,0,0,0
-0.0021304,0.00188601,-0.00101083,-0.0023309,0.00189941,-0.00103885,0,0,0
-0.00285954,0.00155085,-0.00101121,-0.00278714,0.00166753,-0.000962922,0,0,0
-0.00325921,0.00132435,-0.00100943,-0.00315101,0.00132594,-0.000973895,0,0,0
-0.00383035,0.000950913,-0.00100782,-0.00397147,0.000955785,-0.00105483,0,0,0
-0.00454324,0.000385886,-0.00100713,-0.00426595,0.000530022,-0.0010297,0,0,0
-0.0048804,7.18073e-05,-0.00100723,-0.00473922,7.22826e-05,-0.000958115,0,0,0
-0.00535452,-0.000433894,-0.00100803,-0.00538537,-0.000438813,-0.00095948,0,0,0
-0.00579132,-0.000984371,-0.00100991,-0.00551393,-0.000970349,-0.00104797,0,0,0
-0.00605831,-0.00137326,-0.00101138,-0.00605726,-0.00135269,-0.00105719,0,0,0
-0.00670522,-0.0022898,-0.00100725,-0.00672671,-0.00218352,-0.000978923,0,0,0
-0.0068924,-0.00238356,-0.00100767,-0.00682152,-0.00240126,-0.000977929,0,0,0
-0.00701643,-0.00250846,-0.00100758,-0.00682025,-0.00251664,-0.00101346,0,0,0
-0.00712119,-0.00268967,-0.00100745,-0.00711669,-0.00278586,-0.00101629,0,0,0
-0.0072275,-0.00293295,-0.00100803,-0.00729802,-0.0028647,-0.000965017,0,0,0
-0.00729439,-0.00312267,-0.00100997,-0.00768848,-0.00333996,-0.000967808,0,0,0
-0.00744412,-0.00357217,-0.00101269,-0.00734664,-0.00342335,-0.0010408,0,0,0
-0.00747696,-0.0036606,-0.00101458,-0.00769543,-0.00373319,-0.00104021,0,0,0
-0.00747037,-0.00366116,-0.00101099,-0.0072593,-0.00373096,-0.00102457,0,0,0
-0.0074574,-0.00360662,-0.00101028,-0.00713494,-0.00345725,-0.00106067,0,0,0
-0.00737824,-0.0032628,-0.00101281,-0.00744393,-0.00327814,-0.00102025,0,0,0
-0.00717081,-0.00234765,-0.00100676,-0.00703616,-0.00227718,-0.00102319,0,0,0
-0.0066355,-9.6899e-05,-0.00100686,-0.00661179,-9.89345e-05,-0.000974363,0,0,0
-0.00573942,0.00352511,-0.00101094,-0.00566684,0.00350275,-0.00096942,0,0,0
-0.0045292,0.00840444,-0.00100966,-0.00455838,0.00847326,-0.000966511,0,0,0
-0.0031064,0.0141271,-0.00100902,-0.00358889,0.0123231,-0.000963868,0,0,0
-0.00216438,0.017913,-0.00100842,-0.00208936,0.018764,-0.00104244,0,0,0
-0.000128849,0.0260909,-0.00100753,-0.000124145,0.0250892,-0.00103389,0,0,0
0.00176152,0.0336826,-0.00100718,0.0017849,0.0341131,-0.00100986,0,0,0
0.00427921,0.0437861,-0.0010072,0.00440222,0.0438651,-0.0009895,0,0,0
0.00744851,0.056496,-0.00100791,0.00761704,0.0587482,-0.00101217,0,0,0
0.0111886,0.0714845,-0.00101048,0.0112062,0.0712369,-0.00100467,0,0,0
0.0154719,0.0886816,-0.00100873,0.0161268,0.0871056,-0.000967367,0,0,0
0.0182542,0.0997733,-0.00101155,0.0201962,0.104086,-0.00101094,0,0,0
0.0248759,0.125462,-0.00100716,0.0253128,0.12152,-0.000964252,0,0,0
0.0311548,0.14903,-0.00100717,0.0299197,0.146986,-0.00102663,0,0,0
0.0378793,0.174235,-0.00101099,0.0359515,0.163835,-0.00101925,0,0,0
0.0445763,0.199335,-0.00101256,0.047034,0.20651,-0.00103442,0,0,0
0.0534638,0.232658,-0.00100719,0.0531014,0.232592,-0.00101981,0,0,0
0.0579567,0.2495,-0.00100743,0.0598463,0.238045,-0.000958836,0,0,0
0.0646842,0.274703,-0.00101097,0.0656028,0.279915,-0.00104801,-0.695272,-0.638318,-0.0865259
0.0713851,0.299799,-0.00101257,0.0718347,0.284925,-0.000987144,-0.695272,-0.638318,-0.0865259
0.0780678,0.324841,-0.00100759,0.0795118,0.336113,-0.000980057,-0.702261,-0.634008,-0.0851663
0.0847737,0.349964,-0.00100744,0.0832482,0.348051,-0.000999596,-0.702261,-0.634008,-0.0851663
0.0892143,0.366592,-0.00100933,0.0944117,0.364223,-0.00100418,-0.695128,-0.615116,-0.0866999
0.0982094,0.400259,-0.00101251,0.0940025,0.399193,-0.00100022,-0.695128,-0.615116,-0.0866999
0.104896,0.4253,-0.00100756,0.108656,0.425453,-0.000958669,-0.686151,-0.596322,-0.0856082
0.113835,0.458744,-0.00100809,0.113931,0.450448,-0.000989074,-0.686151,-0.596322,-0.0856082
0.118421,0.475661,-0.00101119,0.117892,0.497354,-0.00103927,-0.674227,-0.551421,-0.0861438
0.123031,0.49226,-0.00101176,0.130614,0.514344,-0.00102501,-0.674227,-0.551421,-0.0861438
0.132666,0.525682,-0.00100792,0.13072,0.547993,-0.00104399,-0.689045,-0.456561,-0.0855513
0.137628,0.542178,-0.00100719,0.140037,0.566883,-0.00099516,-0.689045,-0.456561,-0.0855513
0.148371,0.575644,-0.00101106,0.146932,0.585503,-0.00106007,-0.662681,-0.384888,-0.0853937
0.153965,0.591954,-0.00101124,0.155855,0.605563,-0.00102429,-0.662681,-0.384888,-0.0853937
0.165939,0.624766,-0.00100877,0.16803,0.632834,-0.000965469,-0.651166,-0.34324,-0.0850377
0.172188,0.640859,-0.00100798,0.168801,0.643124,-0.00104003,-0.651166,-0.34324,-0.0850377
0.182082,0.665122,-0.00100995,0.178066,0.703469,-0.000995784,-0.625391,-0.290408,-0.0841509
0.199601,0.70507,-0.00100855,0.195628,0.681058,-0.000984739,-0.625391,-0.290408,-0.0841509
0.206886,0.720837,-0.00100832,0.203053,0.74835,-0.00100439,-0.531286,-0.303448,-0.0842013
0.218062,0.744389,-0.00100934,0.209504,0.713979,-0.000963318,-0.531286,-0.303448,-0.0842013
0.233264,0.775484,-0.00100813,0.235698,0.789695,-0.00100091,-0.269193,-0.412683,-0.084594
0.241089,0.791113,-0.00100867,0.231245,0.808973,-0.000981179,-0.269193,-0.412683,-0.084594
0.252947,0.814327,-0.00100965,0.260833,0.839397,-0.000960581,-0.118027,-0.494059,-0.0849481
0.265054,0.837405,-0.00101049,0.253185,0.868037,-0.000985779,-0.118027,-0.494059,-0.0849481
0.273147,0.852529,-0.00100906,0.289734,0.858649,-0.00101267,0.0716821,-0.561268,-0.0851851
0.28992,0.883148,-0.00100809,0.279564,0.902987,-0.000984355,0.0716821,-0.561268,-0.0851851
0.30273,0.90592,-0.00100975,0.303216,0.883855,-0.000991246,0.219396,-0.593486,-0.0846829
0.311287,0.920821,-0.00101073,0.32466,0.900636,-0.00105683,0.219396,-0.593486,-0.0846829
0.328928,0.950832,-0.00100795,0.324917,0.956888,-0.00100342,0.298414,-0.581789,-0.0851931
0.342397,0.973164,-0.0010077,0.328112,0.983851,-0.000987548,0.298414,-0.581789,-0.0851931
0.356128,0.99543,-0.00101063,0.360424,1.0366,-0.000982514,0.298414,-0.581789,-0.0851931
0.370007,1.01743,-0.00101099,0.366056,1.06606,-0.000995365,-0.582264,0.340407,-0.0854735
0.37927,1.03185,-0.00100838,0.364892,0.986032,-0.00101596,-0.558388,0.409148,-0.0851354
0.393526,1.05364,-0.00100715,0.4069,1.10902,-0.00101433,-0.558388,0.409148,-0.0851354
0.413054,1.08275,-0.00101135,0.42381,1.03091,-0.00100718,-0.501183,0.384852,-0.084764
0.427807,1.10419,-0.00101068,0.433582,1.07807,-0.00105528,-0.501183,0.384852,-0.084764
0.442743,1.12544,-0.00100768,0.439946,1.08395,-0.00104805,-0.391566,0.366159,-0.0851305
0.45795,1.14664,-0.0010075,0.472662,1.09145,-0.00102997,-0.391566,0.366159,-0.0851305
0.473424,1.16775,-0.00101115,0.496746,1.21062,-0.000963676,-0.313336,0.35632,-0.0845522
0.489003,1.18857,-0.00101081,0.473505,1.19417,-0.00102112,-0.313336,0.35632,-0.0845522
0.504773,1.20923,-0.00100778,0.506052,1.22988,-0.00100003,-0.313336,0.35632,-0.0845522
0.526168,1.23657,-0.00100862,0.545342,1.17845,-0.00100496,-0.177384,0.333338,-0.0837381
0.537105,1.25026,-0.00101104,0.51322,1.28262,-0.000997352,-0.177384,0.333338,-0.0837381
0.553495,1.27045,-0.00101017,0.570923,1.25642,-0.000980229,-0.0730283,0.312319,-0.0838233
0.570069,1.29046,-0.00100803,0.595828,1.27263,-0.00102112,-0.0730283,0.312319,-0.0838233
0.586922,1.31038,-0.00100816,0.574719,1.29805,-0.00102212,0.0259935,0.304993,-0.0844875
0.60399,1.33014,-0.00101057,0.615525,1.32325,-0.00103764,0.0259935,0.304993,-0.0844875
0.621195,1.34968,-0.0010099,0.64451,1.36693,-0.0010446,0.12702,0.297296,-0.0845788
0.638552,1.36902,-0.00100832,0.630106,1.32428,-0.00101828,0.12702,0.297296,-0.0845788
0.650162,1.38173,-0.00100817,0.632898,1.33777,-0.00105667,0.235228,0.282462,-0.0841959
0.673996,1.40728,-0.0010109,0.676976,1.439,-0.000990246,0.235228,0.282462,-0.0841959
0.691983,1.42614,-0.0010095,0.719778,1.4657,-0.000990026,-0.18024,0.867896,-0.0822695
0.710114,1.44479,-0.00100868,0.696264,1.45527,-0.000961282,-0.18024,0.867896,-0.0822695
