Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
-0.00152759,0.00209511,-0.00101026,-0.00159226,0.0021944,-0.00105387,0.00250475,-1.22958e-10,0
-0.00191741,0.00195496,-0.00100926,-0.00198224,0.00204203,-0.000974362,0.00250475,-1.22958e-10,0
-0.00265499,0.00165678,-0.00101272,-0.00278714,0.00166753,-0.000962922,0.00250475,-1.22958e-10,0
-0.00325921,0.00132435,-0.00100943,-0.00315101,0.00132594,-0.000973895,0.00250475,-1.22958e-10,0
-0.00383035,0.000950913,-0.00100782,-0.00397147,0.000955785,-0.00105483,0.00564516,0.000747356,0
-0.00437167,0.000533317,-0.0010072,-0.00426595,0.000530022,-0.0010297,0.00564516,0.000747356,0
-0.0048804,7.18073e-05,-0.00100723,-0.00473922,7.22826e-05,-0.000958115,0.00564516,0.000747356,0
-0.00535452,-0.000433894,-0.00100803,-0.00538537,-0.000438813,-0.00095948,0.00564516,0.000747356,0
-0.00579132,-0.000984371,-0.00100991,-0.00551393,-0.000970349,-0.00104797,0.00705405,0.00194756,0
-0.00618761,-0.00158083,-0.00101194,-0.00631435,-0.00161442,-0.00104271,0.00705405,0.00194756,0
-0.00657141,-0.00217473,-0.00100709,-0.0064503,-0.00224105,-0.0010557,0.00705405,0.00194756,0
-0.0068924,-0.00238356,-0.00100767,-0.00682152,-0.00240126,-0.000977929,0.00705405,0.00194756,0
-0.00698153,-0.00246344,-0.00100729,-0.00682025,-0.00251664,-0.00101346,0.0100002,0.00468423,0
-0.00712119,-0.00268967,-0.00100745,-0.00711669,-0.00278586,-0.00101629,0.0100002,0.00468423,0
-0.0072275,-0.00293295,-0.00100803,-0.00693764,-0.0029536,-0.00102414,0.0100002,0.00468423,0
-0.00729439,-0.00312267,-0.00100997,-0.00768848,-0.00333996,-0.000967808,0.0100002,0.00468423,0
-0.00740456,-0.00347113,-0.00101171,-0.00734664,-0.00342335,-0.0010408,0.0100002,0.00468423,0
-0.00747205,-0.0036616,-0.00101282,-0.00712629,-0.00356018,-0.00104526,0.0100002,0.00468423,0
-0.00747037,-0.00366116,-0.00101099,-0.0072593,-0.00373096,-0.00102457,0.0100002,0.00468423,0
-0.0074574,-0.00360662,-0.00101028,-0.00713494,-0.00345725,-0.00106067,0.0100002,0.00468423,0
-0.00737824,-0.0032628,-0.00101281,-0.00747794,-0.00319108,-0.00100107,0.0100002,0.00468423,0
-0.00717081,-0.00234765,-0.00100676,-0.00703616,-0.00227718,-0.00102319,0.0100002,0.00468423,0
-0.0068672,-0.00105949,-0.00100671,-0.00661179,-9.89345e-05,-0.000974363,0.0100002,0.00468423,0
-0.00573942,0.00352511,-0.00101094,-0.00566684,0.00350275,-0.00096942,0.0100002,0.00468423,0
-0.00500547,0.00649004,-0.00101024,-0.00455838,0.00847326,-0.000966511,0.0100002,0.00468423,0
-0.0031064,0.0141271,-0.00100902,-0.00298914,0.0135151,-0.00100692,0.0100002,0.00468423,0
